Blog	water	music	product	general	after	version	started	wrong	pretty	out	comes	ideas	learn	lead	four	course	idea	stop	san	hands	listen	search	word	donald	conference	because	among	took	important	notice	opportunity	twitter	think	across	away	example	value	especially	whole	source	check	final	another	told	mean	far	support	over	nothing	someone	apple	wasn	taking	offer	along	single	having	state	feature	website	taken	continue	times	stuff	results	home	doing	read	need	exactly	bring	say	worked	early	play	than	nbsp	went	world	press	amazing	other	super	enough	until	three	wants	family	come	wanted	marketing	mobile	entire	against	american	got	while	public	actually	why	body	means	create	lost	friends	available	came	watch	simple	work	cost	isn	should	answer	m	off	hit	book	call	happens	pick	place	most	hours	photo	talking	am	she	well	needed	five	black	else	design	following	team	little	open	email	before	event	found	kind	ways	left	party	spent	below	article	today	u	under	million	view	old	decided	others	aren	me	every	level	give	recently	once	car	its	send	personal	add	inside	make	these	technology	though	game	when	research	show	store	number	users	minutes	camera	again	amazon	look	never	use	shot	easy	which	experience	asked	could	message	during	ever	anything	community	real	years	user	feel	too	stories	know	both	popular	people	own	art	project	less	take	similar	did	security	longer	original	young	low	monday	amp	now	change	rather	phone	makes	side	year	talk	business	something	your	anyone	co	couple	week	thousands	social	able	us	everyone	want	must	almost	since	saturday	favorite	created	love	reading	many	remember	tried	his	would	between	company	including	control	working	being	line	com	photos	voice	time	app	day	write	didn	point	earlier	doesn	really	money	simply	different	awesome	then	announced	her	high	only	youtube	re	b	instead	name	several	online	there	ago	words	yet	end	best	service	questions	even	pay	around	down	very	maybe	sure	find	thing	system	worth	big	appeared	up	long	whether	john	companies	like	vote	behind	guy	united	based	local	tools	where	link	everything	always	thanks	major	ll	past	seems	put	saying	part	states	list	stay	group	likely	city	first	late	through	yourself	hear	internet	running	understand	same	web	report	build	video	next	hot	cool	d	starting	features	google	process	via	reports	if	daily	history	question	job	matter	no	large	better	trump	become	still	case	much	learned	happy	posts	such	chance	who	age	microsoft	myself	data	person	fact	things	may	buy	gave	said	does	going	least	update	using	second	see	sometimes	later	good	goes	ask	issues	full	needs	they	had	fun	th	share	network	also	visit	tv	seen	series	hand	space	night	note	save	post	right	great	months	will	tell	track	articles	small	saw	face	into	life	government	two	last	man	involved	some	according	lot	click	building	don	here	few	drive	morning	videos	mind	bit	soon	help	problem	industry	their	finally	yes	hour	so	thought	interesting	those	says	were	done	takes	media	short	services	perhaps	hard	country	human	york	weeks	each	links	making	national	august	key	quickly	coming	turn	him	might	writing	story	gets	e	bad	any	information	let	within	month	blog	them	shows	president	together	x	live	go	house	either	already	top	wrote	keep	future	content	my	deal	recent	looking	try	used	won	called	he	our	get	do	how	computer	piece	probably	order	start	ready	directly	made	clear	latest	news	without	possible	given	move	power	happen	page	changes	run	site	care	half	members	getting	back	events	set	facebook	happened	obama	conversation	ve	please	trying	way	often	days	c	free
WIRED	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mezzoblue	0	0	0	0	0	1	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	1	0	1	0	0	2	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0	1	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	5	0	0	3	0	0	0	2
Gawker	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	1	0	0	0	1	0	1	2	0	1	0	0	1	0	3	0	0	0	0	25	0	0	0	2	0	0	2	2	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	1	2	1	0	2	0	0	0	1	1	0	0	1	2	1	0	0	0	1	0	0	0	0	1	2	2	1	1	0	0	0	0	1	0	1	1	0	4	2	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	2	0	0	0	0	0	1	2	0	0	0	0	1	1	1	3	3	0	0	1	0	0	2	2	0	0	0	1	7	0	0	0	0	0	1	0	4	0	0	0	6	1	0	0	0	0	0	1	4	0	0	1	0	0	2	0	0	0	1	1	2	0	4	3	0	0	2	0	0	0	0	2	0	0	2	1	1	0	1	1	1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	5	0	0	1	0	3	0	0	0	2	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	1	1	0	2	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	1	1	1	0	1	0	1	0	1	5	1	1	2	0	0	0	0	2	0	5	0	0	0	0	1	0	0	0	0	0	3	2	0	2	0	0	2	0	0	0	0	0	0	0	1	1	4	3	1	1	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	3	3	2	0	2	2	0	0	0	4	3	0	0	2	0	0	0	0	1	0	0	1	2	1	0	1	0	0	1	1	2	0	0	1	0	0	2	0	0	1	7	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	4	0	2	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	1	7	1	4	4	0	0	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	6	1	1	1	0	1	0	1	1	0
MetaFilter	0	2	0	0	8	0	1	1	1	4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	2	5	0	0	0	1	0	0	1	0	0	5	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	1	0	8	0	0	10	0	0	2	2	0	0	4	0	0	1	1	0	0	0	3	2	0	1	2	0	1	0	0	0	2	0	1	0	2	0	1	0	3	0	1	0	2	0	0	0	0	1	0	5	1	0	0	1	5	1	0	2	0	0	3	4	0	1	0	0	2	0	0	0	0	0	2	0	0	2	2	3	5	2	0	0	0	2	1	1	2	0	0	0	0	0	4	1	1	0	0	0	1	0	2	0	2	1	0	0	1	0	0	0	1	1	0	1	1	0	0	2	1	0	3	1	0	0	1	0	0	3	0	0	1	1	3	3	0	3	3	1	0	0	1	1	2	0	0	0	0	0	0	1	3	2	2	0	2	0	5	0	0	2	1	1	1	0	1	0	0	0	2	0	1	0	0	4	2	0	0	0	0	8	0	0	5	1	1	0	4	1	1	3	3	0	1	0	4	0	3	1	1	0	1	1	0	0	0	3	0	1	0	6	0	4	0	0	0	0	0	0	0	3	3	0	0	2	1	1	2	2	0	2	1	2	1	0	0	1	2	0	0	0	2	3	0	1	0	3	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	2	0	1	4	1	0	1	0	0	2	2	0	0	0	0	0	0	0	2	0	1	0	4	0	0	0	1	0	2	0	1	1	3	2	0	0	0	0	0	2	0	0	0	1	3	0	1	0	0	0	2	0	8	0	0	0	0	0	0	1	0	0	0	2	1	0	2	0	2	0	3	0	0	0	0	0	1	1	0	7	2	0	7	0	0	6	0	7	0	1	2	0	1	0	0	0	1	0	1	3	0	0	2	0	1	1	2	0	3	2	1	0	1	3	0	0	0	0	1	1	2	0	0	0	0	1	1	0	0	2	9	0	0	0	2	0	0	2	0	11	1	0	0	1	1	0	0	4	1	3	1	0	0	0	4	2	5	0	0	0	0	0	1	0	0	1	0	3	0	0	1	6	3	3	1	2	0	1	1	2	1	0	1	0	0	0	0	0	4	0	0	1	1	1	1	1	8	0	1	1	0	0	2	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	2	0	5	0	0	0	1	0	0	0	0	1	0	1	4	0	0
Eschaton	0	0	0	1	4	0	1	0	4	2	0	0	0	0	1	1	2	2	0	0	0	0	0	2	0	7	1	0	1	0	0	1	3	0	0	1	0	2	0	0	0	0	1	1	4	1	3	3	0	0	0	0	0	0	1	0	0	8	0	0	0	0	4	1	0	3	3	1	0	0	0	1	0	1	0	6	0	0	1	8	0	5	0	4	1	1	0	0	1	2	0	0	0	2	3	2	0	1	1	2	0	0	0	1	0	0	0	2	0	2	2	1	1	0	5	3	0	0	1	0	0	1	5	0	0	1	0	0	2	1	3	3	1	0	0	0	1	0	0	1	0	0	2	1	1	2	0	0	0	1	1	0	0	0	0	0	0	2	0	7	0	2	0	0	0	0	0	0	0	0	3	0	0	2	0	5	0	1	0	0	0	1	0	1	0	0	2	0	0	0	6	0	1	4	0	1	1	3	0	0	5	0	0	4	1	1	7	2	17	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	1	1	0	2	0	2	1	0	1	2	1	0	0	0	0	0	0	1	0	2	2	0	1	3	0	0	0	0	4	0	1	2	5	1	0	0	1	1	1	1	1	0	0	4	0	2	0	5	1	0	1	7	0	1	0	0	6	0	0	0	5	0	6	0	2	0	1	0	4	0	0	0	2	1	0	0	6	0	0	2	0	1	6	0	1	2	0	2	0	3	0	0	0	0	5	7	0	1	0	0	1	0	1	0	0	2	0	0	1	0	1	0	2	1	1	0	0	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	2	0	2	0	5	0	0	0	0	0	0	12	1	0	1	1	3	4	0	2	6	2	1	1	3	0	2	0	0	0	3	0	0	0	0	0	3	3	0	1	0	2	1	4	1	0	0	0	2	3	0	4	2	0	4	0	1	16	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	5	1	0	0	1	0	0	0	1	2	2	2	0	0	10	0	1	1	0	4	5	0	0	4	0	0	3	0	0	1	0	2	0	3	2	5	1	0	4	0	6	1	1	4	0	0	0	1	0	0	3	0	0	0	0	1	2	0	0	0	0	1	2	0	3	0	0	1	3	0	1	0	0	0	7	1	1	1	1	0	2	0	0	2	1	0	1	0	0	2	1	0	0	1	1	0	0	10	1	5	6	8	0	0	2	1	1	0	0	0	0	0	3	1	3	1	0	1	0	0	0	4	0	0	1	1	0	0	0	0	1	1	2	0	2	1	2	7	1	0	1	1
Copyblogger	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	3	1	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	5	0	0	0	0	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	2	0	5	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	2	0	0	0	0	4	1	0	1	1	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	14	1	0	0	6	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	3	0	0	0	1	1	0	0	1	0	0	0	2	0	3	0	2	0	0	0	0	2	1	0	0	1	0	0	0	2	1	0	1	0	0	0	2	0	0	0	0	1	10	1	1	0	0	0	5	0	1	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	2	0	1	0	0	12	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	10	1	0	0	0	1	0	0	0	1	5	4	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	2	2	0	0	1
Valleywag	0	2	0	0	5	0	1	1	0	3	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	1	1	0	2	2	0	9	0	1	2	0	2	1	0	0	0	0	0	1	0	0	1	0	0	2	0	25	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	1	0	0	0	2	0	0	0	1	0	4	0	0	0	2	0	3	1	2	0	0	0	2	0	1	0	0	0	1	1	0	0	2	3	0	0	0	0	0	0	2	0	0	2	0	0	2	1	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	3	1	0	9	0	0	0	1	2	0	1	0	0	1	0	2	0	0	2	0	1	1	0	0	0	1	0	0	3	0	1	2	0	0	1	0	1	2	1	0	0	0	1	0	0	1	6	0	0	0	0	1	0	4	1	0	1	0	0	0	0	2	0	0	1	0	1	2	0	2	2	4	0	2	0	1	1	0	0	0	2	1	0	0	2	0	1	0	1	0	0	0	1	3	3	0	8	0	1	2	1	0	7	0	0	1	2	3	0	1	0	0	0	1	5	1	0	0	1	2	7	1	3	0	3	0	1	0	0	0	1	0	0	0	0	0	2	0	1	1	2	2	2	0	1	1	2	0	1	0	0	5	2	0	0	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	2	0	2	0	0	0	0	1	2	0	0	0	0	0	0	9	0	0	1	1	0	6	1	0	0	0	0	1	3	2	0	1	0	1	4	1	0	0	0	2	1	1	5	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	1	0	1	5	0	0	0	0	0	0	3	1	0	0	4	4	0	1	2	0	0	1	0	4	2	0	2	0	0	0	0	1	0	1	7	2	0	0	6	0	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	4	1	0	1	0	0	1	0	0	2	3	0	1	1	0	0	0	0	3	0	0	0	0	5	1	2	2	3	0	0	2	0	0	0	0	1	0	1	5	1	0	0	0	3	0	1	0	1	5	0	0	1	1	1	0	2	4	0	0	1	2	0	1	2	0	0	0	0
The Full Feed from HuffingtonPost.com	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	4	0	0	10	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	1	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	5	0	0	0	1	0	0	3	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	2	4	0	2	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	0	0	0	0	0	0	0	0	4	1	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	1	0	0	0	0	1	0
BuzzMachine	0	0	0	0	1	1	0	0	0	2	0	0	1	0	1	0	0	1	0	0	1	0	0	2	0	0	0	1	3	0	1	1	3	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	2	0	2	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	1	0	1	0	2	1	1	0	1	0	0	6	0	0	0	0	0	0	0	1	0	3	0	1	0	0	1	0	0	1	0	2	1	0	0	0	0	1	0	2	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	1	0	2	0	3	1	0	1	0	1	1	0	3	0	3	1	2	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	1	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	1	2	0	0	0	0	0	0	1	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	4	0	1	0	3	0	2	0	1	0	1	0	0	6	0	0	0	2	0	0	0	0	0	2	1	0	0	3	0	0	1	1	0	0	1	1	0	0	0	0	1	3	0	0	2	0	0	0	0	2	1	1	0	0	1	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0	4	1	0	2	0	1	0	0	0	0	2	3	2	0	2	0	0	0	0	1	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	6	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	3	7	1	2	0	0	0	1	0	0	0	0	0	0	0	10	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	6	1	0	0	1	0	0	0	0	0	1	0
The Viral Garden	0	6	2	2	8	0	14	4	3	32	2	6	8	2	5	3	15	2	3	0	0	3	1	0	6	40	3	8	5	5	0	71	30	0	3	4	11	1	1	0	7	0	8	3	8	1	2	14	2	14	1	8	4	2	4	3	3	1	0	3	0	1	1	3	5	1	14	9	8	0	2	7	5	2	2	9	0	7	4	0	5	17	1	5	0	3	3	0	7	13	15	0	1	0	0	9	8	0	10	24	0	7	11	0	11	0	1	0	2	17	2	7	17	2	16	6	2	0	1	2	2	3	24	4	0	4	26	1	14	2	0	1	8	0	23	5	3	2	3	9	28	12	0	6	9	0	0	1	2	4	0	1	0	5	1	6	11	11	56	13	5	10	6	3	0	12	1	6	10	0	20	26	0	5	1	40	1	5	1	5	10	1	0	3	0	1	10	20	0	2	21	1	1	8	1	8	3	1	10	2	6	4	2	6	3	18	6	7	73	25	0	4	5	7	3	11	0	2	1	0	0	0	3	22	3	1	0	3	1	18	2	13	10	79	0	2	6	7	0	134	2	16	9	34	3	3	3	0	2	7	4	8	23	3	1	8	30	2	13	1	0	1	18	2	22	0	2	25	0	21	9	14	6	1	3	9	3	6	4	3	22	0	5	1	16	0	4	2	5	10	10	8	41	5	1	1	5	8	5	6	18	3	7	2	25	4	11	9	13	0	1	13	0	24	8	1	1	29	26	1	1	0	0	0	0	7	15	20	0	6	2	0	17	1	3	4	4	7	0	12	3	5	7	0	26	1	4	4	3	0	0	13	16	1	0	6	0	10	0	5	6	0	0	0	1	9	0	69	0	1	0	1	2	19	3	10	0	11	14	8	8	5	1	7	8	5	15	7	0	3	0	5	3	6	12	2	0	13	5	11	6	2	31	3	24	8	4	16	3	3	2	3	6	90	36	2	9	8	6	10	0	1	4	9	1	6	3	0	1	41	7	13	5	50	11	1	6	5	2	0	10	2	0	8	14	1	0	20	2	14	3	4	14	26	22	1	0	0	0	8	3	11	5	6	72	1	1	4	70	11	4	10	0	33	3	1	122	1	2	0	1	0	1	2	5	3	8	4	0	1	5	1	12	2	3	7	5	2	1	0	3	8	6	10	2	1	46	50	2	0	4	0	3	15	0	2	2	4	6	3	1	15	68	1	5	10	4	1	11	4	17	6	24	39	59	0	0	11	1	7	1	1	7	0	1	1	2	1	2	2	5	3	8	1	0	11	1	2	5	7	19	12	0	10	4	0	5	20	3	7	28	9	8	0	6
